,source,target,edge
0,,,sentence
1,connie,own,decides
2,later  scream,distance,heard in
3,christian,then  elder,paralyzed by
4,temple,fire,set on
5,outside  cult,him,wails with
6,it,religious  awakening,'s
7,c. mackenzie,craig  cast,joined
8,di  francia,action cast,revealed
9,paul ben victor,later  cast,revealed as
10,we,just  film,tried
11,we,tests,went through
12,,international sales rights,circling
13,canadian musician robbie robertson,soundtrack,supervised
14,it,original music tracks,features
15,it,reviewed  franchise,is
16,she,accidentally  mystique,injures
17,military  forces,arrest,tasked with
18,train,vuk,attacked by
19,kota eberhardt,telepath selene gallio,portrays
20,singer,sequel,return
21,last  which,penn,stand
22,jessica chastain,same  character,considered for
23,mauro fiore,cinematographer,served as
24,filming,october,completed on
25,soundtrack,digitally  june,released
26,album,digitally  august,released
27,film,studios motion pictures,distributed by
28,it,$  103.7\xa0million,ended
29,stars kyle chandler,,strathairn
30,it,executive producer yoshimitsu banno,dedicated to executive
31,,former employee dr,approach former
32,monster emma which,several monarch dr,frees
33,madison,mythological  texts,disowns
34,joe morton,older  dr,appears as
35,godzilla,king themselves,credited as
36,when  dougherty,when  reaction,stated
37,we,godzilla,empathizing with
38,only  mandate,monarch,was
39,ten  writers,treatment,contributed to
40,script,year,took
41,dougherty,filming  production,changed
42,film,this,became
43,it,big  dinosaurs,look like big
44,other  actors,body,perform
45,designer scott chambliss,art directors,managed
46,single,may,released on
47,tracks,bear mccreary,written by
48,score,also  mccreary.\n,conducted by
49,teaser  poster,december,released
50,theatrical  poster,april,released
51,film,originally  june,scheduled
52,collectible  tickets,two  sizes,offered in
53,4k release,hdr10  hdr10,includes
54,retail  exclusives,clear  files,include limited
55,such  heroes,one  liners,are ready
56,it,science fiction twist,was
57,currently action films,extensive stunt work,tend
58,examples,indiana jones franchise,include
59,themes,typical action horror films,prevalent in typical
60,mall cop,recent  trend,is
61,they,often entertainment storytelling,are
62,both,many  roles,had many
63,producer,production  filmmaking,supervises
64,finally  producer,marketing,oversee
65,line producer,certain  cases,credited
66,most  producers,college,start in
67,film directors,screenwriters,started as
68,other film directors,film school,attended
69,directors,different  approaches,use different
70,directors,additional  roles,take
71,film schools,sound  stages,equipped with sound
72,full degree course,five  years,designed for
73,film academy berlin,berlin brandenburg tv,cooperates with
74,,la film school,femis in
75,national film awards,prominent film award india,is
76,awards,first  1954,presented in
77,national film awards,main  films,presented in
78,he,home  apartment,returns
79,mass  riot,gotham,breaks
80,arthur,arkham state hospital,imprisoned at arkham
81,film war dogs,august,premiered in
82,we,even  joker,doing
83,then  we,that,reshoot
84,olson  hodge,cast,joined
85,it,theatrically warner bros,scheduled
86,it,eye  me,been
87,i,it,wait
88,they,it,did
89,i,it,wait
90,they,it,did
91,film,short samuel beckett,is
92,second  draft,40 leaf shooting script,produced by
93,beckett,zero director alan mostel,were interested
94,beckett,then buster keaton,suggested
95,this,united  states,being
96,,,wall
97,suddenly camera,violently  left,shifts
98,couple,other,look at
99,camera,vestibule,cuts to
100,camera,close  up,gives
101,she,fumbling  feet,descends
102,she,eyes,closes
103,coat tails,stairs,seen
104,simply  mechanics,tasks,are laborious
105,he,them,ignores
106,he,still eye patch,has
107,he,chair,starts from
108,,,percipere
109,he,away  himself,get
110,e,merely  person,is
111,e,blind  eye,is
112,script,various  ways,interpreted in various
113,viewers,work,asked
114,particular  beckett,particular  project,became
115,chris columbus,cuarón,worked on
116,he,book,went
117,david heyman,film,confirmed
118,previous acting experience,school plays,was in
119,barron,four  films,appointed
120,executive  producers,tanya seghatchian,include tanya
